Java HotSpot(TM) 64-Bit Server VM warning: Options -Xverify:none and -noverify were deprecated in JDK 13 and will likely be removed in a future release.
{spring.web.resources.chain.cache=false, spring.web.resources.cache.period=0}

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v2.4.0)

2020-11-14 17:00:00.688 DEBUG 17276 --- [  restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.application.name' in PropertySource 'configurationProperties' with value of type String
2020-11-14 17:00:00.694  INFO 17276 --- [  restartedMain] c.m.c.SpringCloudConfigServerApplication : Starting SpringCloudConfigServerApplication using Java 15 on LAPTOP-89L750QF with PID 17276 (D:\Microservices\spring-cloud-config-server\target\classes started by ASUS in D:\Microservices\spring-cloud-config-server)
2020-11-14 17:00:00.695  INFO 17276 --- [  restartedMain] c.m.c.SpringCloudConfigServerApplication : No active profile set, falling back to default profiles: default
2020-11-14 17:00:00.695 DEBUG 17276 --- [  restartedMain] o.s.boot.SpringApplication               : Loading source class com.microservices.cloudconfigserver.SpringCloudConfigServerApplication
2020-11-14 17:00:00.725 DEBUG 17276 --- [  restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/D:/Microservices/spring-cloud-config-server/target/classes/]
2020-11-14 17:00:00.725 DEBUG 17276 --- [  restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2020-11-14 17:00:00.725 DEBUG 17276 --- [  restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2020-11-14 17:00:00.725  INFO 17276 --- [  restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-11-14 17:00:00.726  INFO 17276 --- [  restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-11-14 17:00:00.726 DEBUG 17276 --- [  restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2296d556
2020-11-14 17:00:00.738 DEBUG 17276 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2020-11-14 17:00:00.745 DEBUG 17276 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2020-11-14 17:00:00.926 DEBUG 17276 --- [  restartedMain] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
